⺕	gri
一飽眼福	jrt bau ~an fuk
一餐	jrt can
一餐飯	jrt can fan
一馬平川	jrt ma pi~ cvn
一馬當先	jrt ma do~ sin
一驚一乍	jrt gi~ jrt za
一體	jrt tri
一體兩面	jrt tri l@~ min
一體化	jrt tri fa
一髮千鈞	jrt fat cin #rn
一鬨而散	jrt hu~ ji san
一鱗半爪	jrt l!n bun zau
一鳴驚人	jrt mi~ gi~ jrn
一黑早	jrt hrk zou
一點	jrt dim
一點一滴	jrt dim jrt dik
一點一點	jrt dim jrt dim
一點不	jrt dim brt
一點兒	jrt dim ji
一點就通	jrt dim zru tu~
一點水一個泡	jrt dim s!i jrt go pou
一點鄰域	jrt dim l!n wik
一點鐘	jrt dim zu~
一點點	jrt dim dim
一黨	jrt do~
一黨專制	jrt do~ zvn zri
一鼓作氣	jrt gu zok hei
一鼻孔出氣	jrt bei hu~ c!t hei
一齊	jrt cri
丁	di~
丁丁	di~ di~
丁丁炒面	di~ di~ cau min
丁丑	di~ cru
丁二烯	di~ ji hei
丁二醇	di~ ji s!n
丁亥	di~ hoi
丁克	di~ hrk
丁內酯	di~ noi zi
丁冬	di~ du~
丁加奴	di~ ga nou
丁卯	di~ mau
丁卯戰爭	di~ mau zin zr~
丁卯胡亂	di~ mau wu lvn
丁型肝炎	di~ ji~ gon jim
丁基	di~ gei
丁字	di~ zi
丁字尺	di~ zi cek
丁字梁	di~ zi l@~
丁字步	di~ zi bou
丁字街	di~ zi gai
丁字褲	di~ zi fu
丁字鎬	di~ zi gou
丁客	di~ hak
丁寧	di~ ni~
丁寵家庭	di~ cu~ ga ti~
丁屋	di~ uk
丁巳	di~ zi
丁憂	di~ jru
丁未	di~ mei
丁汝昌	di~ jv c@~
丁烯	di~ hei
丁烷	di~ jvn
丁玲	di~ li~
丁磊	di~ l!i
丁等	di~ dr~
丁糖	di~ to~
丁肇中	di~ siu zu~
丁艱	di~ gan
丁酉	di~ jru
丁醇	di~ s!n
丁醛	di~ cvn
丁零噹啷	di~ li~ do~ lo~
丁青	di~ ci~
丁青縣	di~ ci~ jvn
丁韙良	di~ wri l@~
丁香	di~ h@~
丁骨牛排	di~ #rt ~ru pai
丁鯛	di~ diu
丁鱥	di~ #ri
丁點	di~ dim
七	crt
七一遊行	crt jrt jru hr~
七七	crt crt
七七事變	crt crt si bin
七七八八	crt crt bat bat
七上八下	crt s@~ bat ha
七事	crt si
七仔	crt zi
七個一皮	crt go jrt pei
七個字	crt go zi
七出	crt c!t
七分之一	crt frn zi jrt
七十	crt srp
七十七	crt srp crt
七十七國集團	crt srp crt #ok zap tvn
七十二行	crt srp ji ho~
七十年代	crt srp nin doi
七千	crt cin
七台河	crt toi ho
七台河市	crt toi ho si
七名	crt mi~
七和弦	crt wo jin
七喜	crt hei
七嘴八張	crt z!i bat z@~
七嘴八舌	crt z!i bat sit
七國咁亂	crt #ok grm lvn
七國集團	crt #ok zap tvn
七堵	crt dou
七堵區	crt dou k!i
七夕	crt zik
七夕節	crt zik zit
七大工業國集團	crt dai gu~ jip #ok zap tvn
七大洲	crt dai zru
七姊妹	crt zi mui
七姊妹星團	crt zi mui si~ tvn
七姊妹道	crt zi mui dou
七姐	crt ze
七孔	crt hu~
七孔生煙	crt hu~ sr~ jin
七層架構	crt cr~ ga gru
七巧板	crt hau ban
七帶石斑魚	crt dai sek ban jv
七年之癢	crt nin zi j@~
七弦琴	crt jin krm
七彩	crt coi
七律	crt l!t
七情	crt ci~
七情上面	crt ci~ s@~ min
七情六慾	crt ci~ luk juk
七情六欲	crt ci~ luk juk
七手八腳	crt sru bat g@k
七扭八歪	crt nru bat wai
七扶八插	crt fu bat cap
七折八扣	crt zit bat kru
七拼八湊	crt pi~ bat cru
七擒七縱	crt krm crt zu~
七支八離	crt zi bat lei
七政四餘	crt zi~ sei jv
七方	crt fo~
七日	crt jrt
七日熱	crt jrt jit
七旬老人	crt c!n lou jrn
七星	crt si~
七星區	crt si~ k!i
七星岩	crt si~ ~am
七星瓢蟲	crt si~ piu cu~
七星茶	crt si~ ca
七曜	crt jiu
七月	crt jvt
七月一號	crt jvt jrt hou
七月三十號	crt jvt sam srp hou
七月份	crt jvt frn
七步成詩	crt bou si~ si
七武士	crt mou si
七河州	crt ho zru
七爺八爺	crt je bat je
七百	crt bak
七碳糖	crt tan to~
七窮六絕	crt ku~ luk zvt
七竅	crt hiu
七竅生煙	crt hiu sr~ jin
七級浮屠	crt krp fru tou
七絃琴	crt jin krm
七美	crt mei
七美鄉	crt mei h@~
七老八十	crt lou bat srp
七聲	crt si~
七聲音階	crt si~ jrm gai
七股	crt gu
七股鄉	crt gu h@~
七葉樹	crt jip sv
七葷八素	crt frn bat sou
七號電池	crt hou din ci
七行詩	crt ho~ si
七角形	crt gok ji~
七言律詩	crt jin l!t si
七言詩	crt jin si
七邊形	crt bin ji~
七里河	crt lei ho
七里河區	crt lei ho k!i
七里香	crt lei h@~
七除八扣	crt c!i bat kru
七零八碎	crt li~ bat s!i
七零八落	crt li~ bat lok
七項全能	crt ho~ cvn nr~
七顛八倒	crt din bat dou
七魄	crt pak
七鰓鰻	crt soi man
七點鐘	crt dim zu~
七龍珠	crt lu~ zv
万俟	mrk kei
丈	z@~
丈二和尚摸不著頭腦	z@~ ji wo s@~ mo brt z@k tru nou
丈二金剛摸不著頭腦	z@~ ji grm go~ mo brt z@k tru nou
丈人	z@~ jrn
丈夫	z@~ fu
丈母	z@~ mou
丈母娘	z@~ mou n@~
丈量	z@~ l@~
三	sam
三七	sam crt
三七二十一	sam crt ji srp jrt
三七仔	sam crt zri
三七開	sam crt hoi
三七開定論	sam crt hoi di~ l!n
三三兩兩	sam sam l@~ l@~
三下五除二	sam ha ~ c!i ji
三不	sam brt
三不知	sam brt zi
三不管	sam brt gun
三世	sam sri
三中全會	sam zu~ cvn wui
三九兩丁七	sam gru l@~ di~ crt
三九唔識七	sam gru m sik crt
三九四零五二	sam gru sei li~ ~ ji
三九天	sam gru tin
三五成群	sam ~ si~ $rn
三五知己	sam ~ zi gei
三井	sam ze~
三亞	sam a
三亞市	sam a si
三人口氣	sam jrn hru hei
三人性交	sam jrn si~ gau
三人成虎	sam jrn si~ fu
三人行	sam jrn hr~
三人行則必有我師	sam jrn hr~ zrk bit jru ~o si
三人行必有我師	sam jrn hr~ bit jru ~o si
三仇	sam sru
三仔	sam zri
三代	sam doi
三代同堂	sam doi tu~ to~
三令五申	sam li~ ~ srn
三件套式西裝	sam gin tou sik sri zo~
三伏	sam fuk
三伏天	sam fuk tin
三位一體	sam wri jrt tri
三位博士	sam wri bok si
三俠五義	sam hrp ~ ji
三個世界	sam go sri gai
三個代表	sam go doi biu
三個女人一個墟	sam go n!i jrn jrt go h!i
三個女人一臺戲	sam go n!i jrn jrt toi hei
三個字	sam go zi
三個臭皮匠勝過一個諸葛亮	sam go cru pei z@~ si~ #o jrt go zv got l@~
三個臭皮匠合成一個諸葛亮	sam go cru pei z@~ hrp si~ jrt go zv got l@~
三個臭皮匠賽過一個諸葛亮	sam go cru pei z@~ coi #o jrt go zv got l@~
三個臭皮匠賽過諸葛亮	sam go cru pei z@~ coi #o zv got l@~
三個臭皮匠頂個諸葛亮	sam go cru pei z@~ di~ go zv got l@~
三個骨	sam go #rt
三倍	sam pui
三催四請	sam c!i sei ce~
三價	sam ga
三元區	sam jvn k!i
三元運算	sam jvn wrn svn
三元醇	sam jvn s!n
三元里	sam jvn lei
三元里站	sam jvn lei zam
三光	sam #o~
三光政策	sam #o~ zi~ cak
三兩	sam l@~ 
三兩下手勢	sam l@~ ha sru sri
三八	sam bat
三八婦女節	sam bat fu n!i zit
三八線	sam bat sin
三公消費	sam gu~ siu fri
三公經費	sam gu~ gi~ fri
三六	sam luk
三六香肉	sam luk h@~ juk
三分	sam frn
三分之一	sam frn zi jrt
三分熟	sam frn suk
三分鐘熱度	sam frn zu~ jit dou
三分顏色上大紅	sam frn ~an sik s@~ dai hu~
三包	sam bau
三十	sam srp
三十一日	sam srp jrt jrt
三十一號	sam srp jrt hou
三十三	sam srp sam
三十二位元	sam srp ji wri jvn
三十二相	sam srp ji s@~
三十八度線	sam srp bat dou sin
三十六字母	sam srp luk zi mou
三十六計	sam srp luk gri
三十六計走為上策	sam srp luk gri zru wri  s@~ cak
三十日	sam srp jrt
三十而立	sam srp ji lap
三千	sam cin
三原	sam jvn
三原則	sam jvn zrk
三原縣	sam jvn jvn
三叉戟	sam ca gik
三叉神經	sam ca srn gi~
三及第	sam krp dri
三反	sam fan
三反運動	sam fan wrn du~
三口兩脷	sam hru l@~ lei
三口六面	sam hru luk min
三句不離本行	sam g!i brt lei bun ho~
三句話不離本行	sam g!i wa brt lei bun ho~
三台	sam toi
三台縣	sam toi jvn
三合一	sam hrp jrt
三合一疫苗	sam hrp jrt jik miu
三合土	sam hrp tou
三合星	sam hrp si~
三合會	sam hrp wui
三合板	sam grp ban
三味線	sam mei sin
三和弦	sam wo jin
三唔識七	sam m sik crt
三國	sam #ok
三國史記	sam #ok si gei
三國志	sam #ok zi
三國時代	sam #ok si doi
三國演義	sam #ok jin ji
三圍	sam wri
三地門	sam dei mun
三地門鄉	sam dei mun h@~
三大紀律八項注意	sam dai gei l!t bat ho~ zv ji
三天不打上房揭瓦	sam tin brt da s@~ fo~ kit ~a
三天兩頭	sam tin l@~ tru
三天打魚兩天曬網	sam tin da jv l@~ tin sai mo~
三夷教	sam ji gau
三姑六婆	sam gu luk po
三字經	sam zi gi~
三官大帝	sam gun dai dri
三家村	sam ga cvn
三寶	sam bou
三寶太監	sam bou tai gam
三寶鳥	sam bou niu
三寸不爛之舌	sam cvn brt lan zi sit
三寸金蓮	sam cvn grm lin
三寸釘	sam cvn de~
三對三鬥牛	sam d!i sam dru ~ru
三尖八角	sam zim bat gok
三尖杉酯鹼	sam zim cam zi gan
三屜桌	sam tri c@k
三山	sam san
三山區	sam san k!i
三岔口	sam ca hru
三岔路口	sam ca lou hru
三島由紀夫	sam dou jru gei fu
三峽	sam hap
三峽大壩	sam hap dai ba
三峽水庫	sam hap s!i fu
三峽鎮	sam hap zrn
三幅被	sam fuk pei
三年	sam nin
三幾	sam gei
三度	sam dou
三度空間	sam dou hu~ gan
三廂	sam s@~
三廢	sam fri
三弦	sam jin
三得利	sam drk lei
三從四德	sam cu~ sei drk
三心二意	sam srm ji ji
三心兩意	sam srm l@~ ji
三思	sam si
三思而後行	sam si ji hru hr~
三思而行	sam si ji hr~
三急	sam grp
三手病	sam sru be~
三扒兩撥	sam pa l@~ but
三拗湯	sam au to~
三振	sam zrn
三振出局	sam zrn c!t guk
三教	sam gau
三教九流	sam gau gru lru
三文治	sam mrn zi
三文魚	sam mrn jv
三方	sam fo~
三族	sam zuk
三日	sam jrt
三日兩夜	sam jrt l@~ je
三日兩頭	sam jrt l@~ tru
三旬九食	sam c!n gru sik
三明	sam mi~
三明市	sam mi~ si
三明治	sam mi~ zi
三星	sam si~
三星鄉	sam si~ h@~
三星集團	sam si~ zap tvn
三春	sam c!n
三昧	sam mui
三更	sam ga~
三更半夜	sam ga~ bun je
三更窮五更富	sam ga~ ku~ ~ ga~ fu
三曹	sam cou
三月	sam jvt
三月二十一號	sam jvt ji srp jrt hou
三月份	sam jvt frn
三月街	sam jvt gai
三朋四友	sam pr~ sei jru
三朝	sam ciu
三朝元老	sam ciu jvn lou
三板	sam ban
三板斧	sam ban fu
三枝桅	sam zi ~ri
三柱門	sam cv mun
三柴	sam cai
三框欄	sam $a~ lan
三條	sam tiu
三棟屋博物館	sam du~ uk bok mrt gun
三極管	sam gik gun
三權分立	sam kvn frn lap
三權鼎立	sam kvn di~ lap
三次	sam ci
三次冪	sam ci mik
三次方	sam ci fo~
三次方程	sam ci fo~ ci~
三次曲線	sam ci kuk sin
三步揦埋兩步	sam bou la mai l@~ bou
三歲定八十	sam s!i di~ bat srp
三歸依	sam #ri ji
三段論	sam dvn l!n
三毛貓	sam mou mau
三民	sam mrn
三民主義	sam mrn zv ji
三民區	sam mrn k!i
三民鄉	sam mrn h@~
三氟化硼	sam frt fa pr~
三氯化磷	sam luk fa l!n
三氯化鐵	sam luk fa tit
三氯已烯	sam luk ji hei
三氯已烷	sam luk ji jvn
三氯氧磷	sam luk j@~ l!n
三氯氰胺	sam luk ci~ on
三氯甲烷	sam luk gap jvn
三水	sam s!i
三水區	sam s!i k!i
三水縣	sam s!i jvn
三江	sam go~
三江並流	sam go~ bi~ lru
三江侗族自治縣	sam go~ du~ zuk zi zi jvn
三江平原	sam go~ pi~ jvn
三江源	sam go~ jvn
三江生態旅遊區	sam go~ sr~ tai l!i jru k!i
三河	sam ho
三河市	sam ho si
三河縣	sam ho jvn
三法司	sam fat si
三洋	sam j@~
三流	sam lru
三浦梅園	sam pou mui jvn
三溫暖	sam wrn nvn
三灣	sam wan
三灣鄉	sam wan h@~
三焦	sam ziu
三班倒	sam ban dou
三瓦兩舍	sam ~a l@~ se
三生有幸	sam sr~ jru hr~
三用表	sam ju~ biu
三田	sam tin
三甲	sam gap
三略	sam l@k
三番五次	sam fan ~ ci
三疊紀	sam dip gei
三百	sam bak
三百六十行	sam bak luk srp ho~
三皇	sam wo~
三皇五帝	sam wo~ ~ dri
三皇炮捶	sam wo~ pau c!i
三相	sam s@~
三相點	sam s@~ dim
三硝基甲苯	sam siu gei gap bun
三碳糖	sam tan to~
三磷酸腺苷	sam l!n svn sin grm
三秒膠	sam miu gau
三稜草	sam li~ cou
三稜鏡	sam li~ ge~
三穗	sam s!i
三穗縣	sam s!i jvn
三等分	sam dr~ frn
三等分角	sam dr~ frn gok
三粒星	sam nrp si~
三級	sam krp
三級士官	sam krp si gun
三級片	sam krp pin
三級跳	sam krp tiu
三級跳遠	sam krp tiu jvn
三索	sam sok
三索線	sam sok sin
三索錦蛇	sam sok grm se
三維	sam wri
三維空間	sam wri hu~ gan
三維電影	sam wri din ji~
三綱五常	sam go~ ~ s@~
三緘其口	sam gam kei hru
三缺一	sam kvt jrt
三義	sam ji
三義鄉	sam ji h@~
三聚氰胺	sam z!i ci~ on
三聯書店	sam lvn sv dim
三聯管	sam lvn gun
三胚層動物	sam pui cr~ du~ mrt
三胞胎	sam bau toi
三腳兩步	sam g@k l@~ bou
三腳凳	sam g@k dr~
三腳架	sam g@k ga
三腳櫈	sam g@k dr~
三腳貓	sam g@k mau
三腳雞	sam g@k gri
三膲	sam ziu
三自	sam zi
三自愛國教會	sam zi oi #ok gau wui
三自教會	sam zi gau wui
三色堇	sam sik grn
三色紫羅蘭	sam sik zi lo lan
三色貓	sam sik mau
三芝	sam zi
三芝鄉	sam zi h@~
三花	sam fa
三茶六飯	sam ca luk fan
三菱	sam li~
三葉星雲	sam jip si~ wrn
三葉草	sam jip cou
三葉蟲	sam jip cu~
三蒸酒	sam zi~ zru
三蕃市	sam fan si
三藏	sam zo~
三藏法師	sam zo~ fat si
三藩之亂	sam fan zi lvn
三藩叛亂	sam fan bun lvn
三藩市	sam fan si
三藩市交通局	sam fan si gau tu~ guk
三藩市城市鐵路	sam fan si si~ si tit lou
三藩市華埠	sam fan si wa fru
三蘇	sam sou
三號木桿	sam hou muk gon
三號電池	sam hou din ci
三蛇	sam se
三蛇羹	sam se gr~
三行	sam hr~
三行仔	sam ho~ zri
三行佬	sam ho~ lou
三衰六旺	sam s!i luk wo~
三親六故	sam crn luk gu
三角	sam gok
三角債	sam gok zai
三角凳	sam gok dr~
三角函數	sam gok ham sou
三角學	sam gok hok
三角尺	sam gok cek
三角巾	sam gok grn
三角座	sam gok zo
三角形	sam gok ji~
三角恐龍	sam gok hu~ lu~
三角戀愛	sam gok lvn oi
三角板	sam gok ban
三角架	sam gok ga
三角柱體	sam gok cv tri
三角法	sam gok fat
三角洲	sam gok zru
三角測量	sam gok cak l@~
三角測量法	sam gok cak l@~ fat
三角皮帶	sam gok pei dai
三角肌	sam gok gei
三角腹帶	sam gok fuk dai
三角褲	sam gok fu
三角褲衩	sam gok fu ca
三角錐	sam gok z!i
三角鐵	sam gok tit
三角關係	sam gok #an hri
三角龍	sam gok lu~
三言兩句	sam jin l@~ g!i
三言兩語	sam jin l@~ jv
三論宗	sam l!n zu~
三貂角	sam diu gok
三貞九烈	sam zi~ gru lit
三資企業	sam zi kei jip
三足烏	sam zuk wu
三足金烏	sam zuk grm wu
三足鼎立	sam zuk di~ lap
三趾啄木鳥	sam zi d@k muk niu
三趾濱鷸	sam zi brn wrt
三趾翠鳥	sam zi c!i niu
三趾鴉雀	sam zi a z@k
三趾鷗	sam zi ru
三跪九叩	sam #ri gru kru
三軍	sam #rn
三軍用命	sam #rn ju~ mi~
三輪車	sam l!n ce
三輪車夫	sam l!n ce fu
三農	sam nu~
三農問題	sam nu~ mrn tri
三迭紀	sam dit gei
三退	sam t!i
三通	sam tu~
三連勝	sam lin si~
三道眉草鵐	sam dou mei cou mou
三邊形	sam bin ji~
三部曲	sam bou kuk
三都水族自治縣	sam dou s!i zuk zi zi jvn
三都縣	sam dou jvn
三酸甘油酯	sam svn grm jru zi
三里屯	sam lei tvn
三里河	sam lei ho
三重	sam cu~
三重奏	sam cu~ zru
三重市	sam cu~ si
三重彩	sam cu~ coi
三重縣	sam cu~ jvn
三鍵	sam gin
三長兩短	sam c@~ l@~ dvn
三門	sam mun
三門峽	sam mun hap
三門峽市	sam mun hap si
三門縣	sam mun jvn
三阿姨	sam a ji
三陪小姐	sam pui siu ze
三隻手	sam zek sru
三音	sam jrm
三音度	sam jrm dou
三項	sam ho~
三項全能	sam ho~ cvn nr~
三項式	sam ho~ sik
三項鐵人	sam ho~ tit jrn
三頭六臂	sam tru luk bei
三頭肌	sam tru gei
三顧茅廬	sam gu mau lou
三馬同槽	sam ma tu~ cou
三駕馬車	sam ga ma ce
三體	sam tri
三體問題	sam tri mrn tri
三魂	sam wrn
三魂七魄	sam wrn crt pak
三鮮	sam sin
三鳥	sam niu
三鹿	sam luk
三鹿集團	sam luk zap tvn
三點三	sam dim sam
三點全露	sam dim cvn lou
三點式	sam dim sik
三點水	sam dim s!i
三點鐘	sam dim zu~
三Ｃ	sam si
三Ｐ	sam Ｐ
三Ｔ	sam Ｔ
上	s@~
上一個	s@~ jrt go
上一次當學一次乖	s@~ jrt ci do~ hok jrt ci #ai
上一號	s@~ jrt hou
上一頁	s@~ jrt jip
上上下下	s@~ s@~ ha ha
上上之策	s@~ s@~ zi cak
上下	s@~ ha
上下九	s@~ ha gru
上下五千年	s@~ ha ~ cin nin
上下其手	s@~ ha kei sru
上下床	s@~ ha co~
上下文	s@~ ha mrn
上下文菜單	s@~ ha mrn coi dan
上下班	s@~ ha ban
上下班時間	s@~ ha ban si gan
上乘	s@~ si~
上交	s@~ gau
上代	s@~ doi
上任	s@~ jrm
上位	s@~ wri
上位概念	s@~ wri koi nim
上來	s@~ loi
上供	s@~ gu~
上便	s@~ bin
上個	s@~ go
上個星期	s@~ go si~ kei
上個月	s@~ go jvt
上個禮拜	s@~ go lri bai
上傳	s@~ cvn
上列	s@~ lit
上前	s@~ cin
上升空間	s@~ si~ hu~ gan
上升趨勢	s@~ si~ c!i sri
上午	s@~ ~
上半	s@~ bun
上半場	s@~ bun c@~
上半夜	s@~ bun je
上半天	s@~ bun tin
上半年	s@~ bun nin
上半晌	s@~ bun h@~
上半葉	s@~ bun jip
上半身	s@~ bun srn
上半部	s@~ bun bou
上半部分	s@~ bun bou frn
上去	s@~ h!i
上口	s@~ hru
上口齒	s@~ hru ci
上古	s@~ gu
上古漢語	s@~ gu hon jv
上台	s@~ toi
上司	s@~ si
上合	s@~ hrp
上合組織	s@~ hrp zou zik
上吊	s@~ diu
上同調	s@~ tu~ diu
上吐下瀉	s@~ tou ha se
上周	s@~ zru
上呼吸道感染	s@~ fu krp dou grm jim
上品	s@~ brn
上唇	s@~ s!n
上嚟	s@~ lri
上回	s@~ wui
上址	s@~ zi
上坡	s@~ bo
上坡段	s@~ bo dvn
上坡路	s@~ bo lou
上城區	s@~ si~ k!i
上域	s@~ wik
上堂	s@~ to~
上報	s@~ bou
上場	s@~ c@~
上墳	s@~ frn
上士	s@~ si
上外	s@~ ~oi
上夜	s@~ je
上天	s@~ tin
上天入地	s@~ tin jrp dei
上天堂	s@~ tin to~
上天無路	s@~ tin mou lou
上天無路入地無門	s@~ tin mou lou jrp dei mou mun
上夸克	s@~ $a hrk
上契	s@~ kri
上好	s@~ hou
上學	s@~ hok
上官	s@~ gun
上家	s@~ ga
上將	s@~ z@~
上將軍	s@~ z@~ #rn
上尉	s@~ wri
上層	s@~ cr~
上層建築	s@~ cr~ gin zuk
上山	s@~ san
上山下鄉	s@~ san ha h@~
上岸	s@~ ~on
上崗	s@~ go~
上工	s@~ gu~
上市	s@~ si
上市公司	s@~ si gu~ si
上帝	s@~ dri
上年	s@~ nin
上床	s@~ co~
上座	s@~ zo
上座部	s@~ zo bou
上弦	s@~ jin
上弦月	s@~ jvn jvt
上得山多終遇虎	s@~ drk san do zu~ jv fu
上心	s@~ srm
上思	s@~ si
上思縣	s@~ si jvn
上情下達	s@~ ci~ ha dat
上房	s@~ fo~
上手	s@~ sru
上揚	s@~ j@~
上揚趨勢	s@~ j@~ c!i sri
上數	s@~ sou
上文	s@~ mrn
上斜	s@~ ce
上新世	s@~ srn sri
上方寶劍	s@~ fo~ bou gim
上旬	s@~ c!n
上昇	s@~ si~
上星	s@~ si~
上星期	s@~ si~ kei
上映	s@~ ji~
上晝	s@~ zru
上書	s@~ sv
上月	s@~ jvt
上有天堂下有蘇杭	s@~ jru tin to~ ha jru sou ho~
上有政策下有對策	s@~ jru zi~ cak ha jru d!i cak
上有老下有小	s@~ jru lou ha jru siu
上朝	s@~ ciu
上杭	s@~ ho~
上杭縣	s@~ ho~ jvn
上林	s@~ lrm
上林縣	s@~ lrm jvn
上架	s@~ ga
上栗	s@~ l!t
上栗縣	s@~ l!t jvn
上校	s@~ gau
上桿	s@~ gon
上梁不正下梁歪	s@~ l@~ brt zi~ ha l@~  wai
上榜	s@~ bo~
上樓	s@~ lru
上標	s@~ biu
上機	s@~ gei
上次	s@~ ci
上款	s@~ fun
上氣不接下氣	s@~ hei brt zip ha hei
上氣唔接下氣	s@~ hei m zip ha hei
上水	s@~ s!i
上汽	s@~ hei
上流	s@~ lru
上流社會	s@~ lru se wui
上浣	s@~ wun
上浮	s@~ fru
上海	s@~ hoi
上海交通大學	s@~ hoi gau tu~ dai hok
上海人	s@~ hoi jrn
上海合作組織	s@~ hoi hrp zok zou zik
上海商務印書館	s@~ hoi s@~ mou jrn sv gun
上海外國語大學	s@~ hoi ~oi #ok jv dai hok
上海大劇院	s@~ hoi dai kek jvn
上海大學	s@~ hoi dai hok
上海寶鋼集團公司	s@~ hoi bou go~ zap tvn gu~ si
上海市	s@~ hoi si
上海戲劇學院	s@~ hoi hei kek hok jvn
上海振華港口機械	s@~ hoi zrn wa go~ hru gei hai
上海文廣新聞傳媒集團	s@~ hoi mrn #o~ srn mrn cvn mui zap tvn
上海汽車工業	s@~ hoi hei ce gu~ jip
上海汽車工業集團	s@~ hoi hei ce gu~ jip zap tvn
上海浦東發展銀行	s@~ hoi pou du~ fat zin ~rn ho~
上海灘	s@~ hoi tan
上海環球金融中心	s@~ hoi wan kru grm ju~ zu~ srm
上海白菜	s@~ hoi bak coi
上海第二醫科大學	s@~ hoi dri ji ji fo dai hok
上海街	s@~ hoi gai
上海話	s@~ hoi wa
上海證券交易所	s@~ hoi zi~ hvn gau jik so
上海證券交易所綜合股價指	s@~ hoi zi~ hvn gau jik so zu~ hrp gu ga zi
上海財經大學	s@~ hoi coi gi~ dai hok
上海醫科大學	s@~ hoi ji fo dai hok
上海音樂學院	s@~ hoi jrm ~ok hok jvn
上海體育場	s@~ hoi tri juk c@~
上游	s@~ jru
上湯	s@~ to~
上溜油	s@~ lru jru
上漆	s@~ crt
上演	s@~ jin
上漲	s@~ z@~
上火	s@~ fo
上牌	s@~ pai
上猶	s@~ jru
上猶縣	s@~ jru jvn
上班	s@~ ban
上班族	s@~ ban zuk
上班時間	s@~ ban si gan
上環	s@~ wan
上甘嶺	s@~ grm le~
上甘嶺區	s@~ grm le~ k!i
上界	s@~ gai
上畫	s@~ wa
上當	s@~ do~
上疏	s@~ so
上癮	s@~ jrn
上皮	s@~ pei
上皮組織	s@~ pei zou zik
上盤	s@~ pun
上相	s@~ s@~
上眼瞼	s@~ ~an lim
上瞼	s@~ lim
上確界	s@~ kok gai
上空	s@~ hu~
上空洗車	s@~ hu~ sri ce
