#level1
杖	mnvh
株	mnvu
橡	mnxl
梗	mngg
糠	mnkh
駅	mnyi
験	mnyj
桜	mnyk
棲	mnxi
棲	mnqi
検	mnjm
相	moxl
精	mojk
盟	momg
糊	mohu
糟	mozc
棚	mopg
梢	mouc
槽	mocc
椿	moiy
間	mojm
闇	moan
楯	mouy
楯	mody
櫓	molu
材	mpcd
梯	mpti
彬	mpbb
杉	mpuj
杉	mpua
閉	mpbi
楊	mpyh
益	mqyi
粗	mqcu
植	mqvi
楚	mriu
集	mrji
核	mrhu
核	mrhe
閃	mruj
松	msss
桧	mshv
桧	msgv
罵	msma
杜	mtdu
桂	mtgv
樫	mtjm
料	muln
楠	munj
杵	muiu
梓	muzi
樟	muvh
柘	muve
粋	mutv
粋	mucv
概	mvgd
柴	mvid
枕	mvvf
札	mvva
杷	mvpa
柁	mvto
柁	mvdo
枇	mvpi
馳	mvii
椀	mvwj
盤	mvpj
柱	mwvu
栓	mwur
閏	mwry
駐	mwvu
駿	mwjy
稜	mwlk
稜	mwlg
禁	mxjb
栖	mxxi
栖	mxqi
枢	mxuu
椋	mxll
駁	mxbo
駆	mxqu
悶	mxmf
標	mxbn
板	mybj
枝	myvi
椴	mydr
李	mzli
孟	mzmg
槌	mziv
嬬	naru
鴨	naya
嬰	nbyk
鵜	nbti
特	ncte
妖	ndyc
婆	ndpo
姿	ndzi
姻	ndyb
鴛	ndyr
鶴	ndhe
犠	ndxi
先	nexm
島	nedc
姓	nfxk
牲	nfug
妨	nffh
鳥	nhnn
鳥	nhdn
婦	njfu
鳩	njjq
如	nkru
始	nkui
告	nkgc
姑	nkgu
嬉	nkxi
嫡	nkdi
姶	nkya
姶	nkee
鳴	nkmk
鴎	nkou
甥	nlug
媒	nmmw
娘	nnnl
妹	nnmw
嫁	nnjx
嫌	nnxm
娠	nnuf
姦	nnjm
鵠	nnhu
婚	nohy
婿	noxu
娼	noih
物	npwu
妙	npmn
鴇	npbc
姐	nqjp
鳶	nqyr
鵡	nqwu
娃	ntwa
牡	ntmu
姪	ntvi
嫉	nuji
妊	nurf
妃	nvfw
姥	nvlc
娩	nvmm
牝	nvpb
鶏	nvji
鷲	nwjq
奴	nynu
妓	nyji
媛	nyyr
嬢	nynl
好	nzhc
鷺	nzlu
量	oall
背	oabw
睡	oauv
替	oati
胆	oadj
瞬	oauy
昨	oazo
旦	oadj
督	oadu
瞳	oats
腫	oavs
臓	oazh
題	oati
顕	oaxm
昇	oaug
貝	obbw
肘	ocvz
昇	ocug
時	ocui
暴	odbc
膝	odxi
朕	odvf
膜	odmo
晦	odhv
眺	odtn
曝	odbc
腺	odxm
脚	oejn
脱	oeto
昂	oeah
見	oejm
暁	oexn
星	ofxk
曜	ofyc
肪	offh
晃	oghl
腔	ogql
暫	oizj
肌	ojji
肺	ojfw
胸	okxs
昭	okvc
胎	oktd
膳	okuj
胴	okds
脳	oknc
腎	okuf
肋	ollw
肋	olle
勝	olug
騰	omtg
眼	onyj
腰	onyc
映	onyk
昧	onmw
豚	onty
脈	onmo
脈	onmd
脹	onvh
膿	onns
鵬	onpg
明	oomk
暗	ooan
朋	oopg
冒	oomc
晶	oojk
晴	ooqk
昌	ooih
脂	oovi
暑	oouu
曙	oouu
影	opyk
易	opyi
膨	oppg
腸	opih
眠	oqmm
是	orui
肱	osgs
曇	ostj
睦	otmu
早	ouzc
智	ouvi
肝	ougj
脆	ovcv
昆	ovky
肥	ovfw
腕	ovwj
鼎	ovdk
胞	ovbc
匙	ovui
匙	ovii
晩	ovwj
腹	owfu
旺	owwh
景	oxjk
瞥	oxpp
晒	oxud
臆	oxyi
県	oxxm
瞭	oxln
瞭	oxle
最	oyzv
服	oyfu
股	oygu
暖	oynr
肢	oyvi
暇	oyxx
腿	oztv
手	pauz
用	pays
神	pauf
重	pavs
重	pais
丹	padj
牛	panq
竹	pavu
鼻	pabi
川	pair
垂	paiv
袖	paxq
斤	pajb
丘	paqq
禅	pauj
禅	paij
臼	pajq
舛	pair
順	pauy
須	paxu
頗	papo
頴	payk
穎	payk
兵	pbbk
興	pbxk
輿	pbyu
禎	pbvf
升	pcug
甜	pctm
祷	pcdc
我	pdwo
多	pddo
外	pdwd
初	pdiu
奥	pdao
夕	pdxi
斥	pdii
舟	pdvz
兆	pdvc
禄	pdlu
卵	pdlr
補	pdbu
襖	pdao
月	peyt
岳	peyt
祝	pevu
卿	peqk
生	pfug
九	pgjq
灸	phjq
烏	phwu
所	pjso
祈	pjqi
視	pjui
帥	pjuk
師	pjui
后	pkhz
向	pkxl
名	pkmk
周	pkvz
舌	pkue
裕	pkyu
裾	pkju
袷	pkqx
喬	pkqn
祐	pkyz
禍	pkho
動	plds
血	pmxt
血	pmxp
禾	pmhe
牒	pmdp
人	pnrf
入	pnru
失	pnui
及	pnji
八	pnba
久	pnjq
朱	pnvu
爪	pnvx
爪	pnvc
瓜	pngx
乏	pnfa
裸	pnlo
乗	pnig
乗	pnug
釈	pnui
自	pozi
白	pobd
昏	pohy
盾	pody
旨	povi
身	ppuf
被	ppbw
被	pppi
祖	pqzu
氏	pqui
臭	pqxq
臭	pqiz
祇	pqqi
祇	pqvi
疑	pryi
系	psxi
系	psji
鬼	psgv
係	psxi
係	psji
福	ptfu
社	ptue
番	ptpj
番	ptfj
裡	ptli
乎	puhu
千	puqm
牌	pupd
辞	puci
卑	pubw
阜	pufu
壬	purf
片	pvpm
乱	pvlr
礼	pvli
毛	pvmc
